code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
ALCAM:a7a3d623	a	0.0	238.0	614.0	1669.0	2116.0	1962.0
ALCAM:a7a3d623	m	0.0	229.0	287.0	772.0	1158.0	932.0
ALCAM:b2cf9384	17596	5416.0	6319.0	5641.0	2312.0	15157.0	8749.0
ALCAM:b2cf9384	17802	4622.0	5325.0	4786.0	1958.0	12895.0	7457.0
ALCAM:b2cf9384	19227	4622.0	5325.0	4786.0	1958.0	12895.0	7457.0
ALCAM:b2cf9384	19228	3213.0	3541.0	3397.0	1429.0	8984.0	5143.0
ALCAM:b2cf9384	19229	3503.0	3967.0	3713.0	1559.0	9887.0	5680.0
ALCAM:b2cf9384	69426	5416.0	6319.0	5641.0	2312.0	15157.0	8749.0
ALCAM:b2cf9384	a	5416.0	6319.0	5641.0	2312.0	15157.0	8749.0
ALCAM:b2cf9384	m	3213.0	3541.0	3397.0	1429.0	8984.0	5143.0
ALCAM:b511e133	17596	41783.0	82931.0	63214.0	23155.0	31931.0	28768.0
ALCAM:b511e133	17802	36849.0	73938.0	56515.0	20683.0	28313.0	25495.0
ALCAM:b511e133	19227	36849.0	73938.0	56515.0	20683.0	28313.0	25495.0
ALCAM:b511e133	19228	19995.0	39606.0	30595.0	10919.0	15288.0	13966.0
ALCAM:b511e133	19229	22748.0	44674.0	34760.0	12466.0	17405.0	15848.0
ALCAM:b511e133	69426	41783.0	82931.0	63214.0	23155.0	31931.0	28768.0
ALCAM:b511e133	a	41783.0	82931.0	63214.0	23155.0	31931.0	28768.0
ALCAM:b511e133	m	19995.0	39606.0	30595.0	10919.0	15288.0	13966.0
ALCAM:c05def0c	17596	0.0	533.0	1060.0	2047.0	5940.0	3926.0
ALCAM:c05def0c	17802	0.0	474.0	936.0	1800.0	5250.0	3425.0
ALCAM:c05def0c	19227	0.0	474.0	936.0	1800.0	5250.0	3425.0
ALCAM:c05def0c	19228	0.0	383.0	726.0	1304.0	3675.0	2378.0
ALCAM:c05def0c	19229	0.0	433.0	809.0	1489.0	4221.0	2651.0
ALCAM:c05def0c	69426	0.0	533.0	1060.0	2047.0	5940.0	3926.0
ALCAM:c05def0c	a	0.0	533.0	1060.0	2047.0	5940.0	3926.0
ALCAM:c05def0c	m	0.0	383.0	726.0	1304.0	3675.0	2378.0
ALCAM:dfe6b498	17596	1155.0	1076.0	1133.0	1147.0	6963.0	948.0
ALCAM:dfe6b498	17802	983.0	917.0	975.0	978.0	5976.0	808.0
ALCAM:dfe6b498	19227	983.0	917.0	975.0	978.0	5976.0	808.0
ALCAM:dfe6b498	19228	712.0	606.0	704.0	703.0	3982.0	504.0
ALCAM:dfe6b498	19229	772.0	648.0	758.0	772.0	4367.0	555.0
ALCAM:dfe6b498	69426	1155.0	1076.0	1133.0	1147.0	6963.0	948.0
ALCAM:dfe6b498	a	1155.0	1076.0	1133.0	1147.0	6963.0	948.0
ALCAM:dfe6b498	m	712.0	606.0	704.0	703.0	3982.0	504.0
ALCAM:e812204a	17596	142303.0	165792.0	138276.0	50650.0	88072.0	44294.0
ALCAM:e812204a	17802	121697.0	141595.0	119168.0	43478.0	75683.0	37929.0
ALCAM:e812204a	19227	121697.0	141595.0	119168.0	43478.0	75683.0	37929.0
ALCAM:e812204a	19228	83071.0	96778.0	81025.0	29338.0	51058.0	25729.0
ALCAM:e812204a	19229	91606.0	105983.0	89552.0	32294.0	56245.0	28262.0
ALCAM:e812204a	69426	142303.0	165792.0	138276.0	50650.0	88072.0	44294.0
ALCAM:e812204a	a	142303.0	165792.0	138276.0	50650.0	88072.0	44294.0
ALCAM:e812204a	m	83071.0	96778.0	81025.0	29338.0	51058.0	25729.0
ALCAM:f99ed0cc	17596	29050.0	32038.0	40047.0	13553.0	29490.0	9722.0
ALCAM:f99ed0cc	17802	25042.0	27532.0	34509.0	11747.0	25429.0	8309.0
ALCAM:f99ed0cc	19227	25042.0	27532.0	34509.0	11747.0	25429.0	8309.0
ALCAM:f99ed0cc	19228	16648.0	18039.0	22632.0	7782.0	16559.0	5592.0
ALCAM:f99ed0cc	19229	18328.0	19754.0	24902.0	8622.0	18182.0	6102.0
ALCAM:f99ed0cc	69426	29050.0	32038.0	40047.0	13553.0	29490.0	9722.0
ALCAM:f99ed0cc	a	29050.0	32038.0	40047.0	13553.0	29490.0	9722.0
ALCAM:f99ed0cc	m	16648.0	18039.0	22632.0	7782.0	16559.0	5592.0
HEBP2:a9f5b516	17596	9220.0	2003.0	2130.0	2101.0	4084.0	12394.0
HEBP2:a9f5b516	17802	8266.0	1691.0	1770.0	1769.0	3489.0	10509.0
HEBP2:a9f5b516	19227	8266.0	1691.0	1770.0	1769.0	3489.0	10509.0
HEBP2:a9f5b516	19228	7307.0	1461.0	1634.0	1621.0	3093.0	9438.0
HEBP2:a9f5b516	19229	8120.0	1699.0	1887.0	1876.0	3649.0	10793.0
HEBP2:a9f5b516	69426	9220.0	2003.0	2130.0	2101.0	4084.0	12394.0
HEBP2:a9f5b516	a	9220.0	2003.0	2130.0	2101.0	4084.0	12394.0
HEBP2:a9f5b516	m	7307.0	1461.0	1634.0	1621.0	3093.0	9438.0
MXD1:0ab76cd2	17596	493.0	0.0	232.0	969.0	1714.0	231.0
MXD1:0ab76cd2	17802	437.0	0.0	214.0	850.0	1512.0	200.0
MXD1:0ab76cd2	19227	437.0	0.0	214.0	850.0	1512.0	200.0
MXD1:0ab76cd2	19228	521.0	0.0	252.0	1069.0	1764.0	245.0
MXD1:0ab76cd2	19229	623.0	0.0	304.0	1250.0	2165.0	305.0
MXD1:0ab76cd2	69426	493.0	0.0	232.0	969.0	1714.0	231.0
MXD1:0ab76cd2	a	493.0	0.0	232.0	969.0	1714.0	231.0
MXD1:0ab76cd2	m	521.0	0.0	252.0	1069.0	1764.0	245.0
MXD1:333fb1fb	17596	0.0	0.0	0.0	1966.0	3003.0	1496.0
MXD1:333fb1fb	17802	0.0	0.0	0.0	2091.0	3146.0	1563.0
MXD1:333fb1fb	19227	0.0	0.0	0.0	2091.0	3146.0	1563.0
MXD1:333fb1fb	19228	0.0	0.0	0.0	1892.0	2871.0	1375.0
MXD1:333fb1fb	19229	0.0	0.0	0.0	1928.0	2851.0	1414.0
MXD1:333fb1fb	69426	0.0	0.0	0.0	1966.0	3003.0	1496.0
MXD1:333fb1fb	a	0.0	0.0	0.0	1966.0	3003.0	1496.0
MXD1:333fb1fb	m	0.0	0.0	0.0	1892.0	2871.0	1375.0
MXD1:74bb9bb1	17596	21666.0	13809.0	24523.0	50159.0	44403.0	53524.0
MXD1:74bb9bb1	17802	24069.0	15558.0	27525.0	56394.0	49955.0	60056.0
MXD1:74bb9bb1	19227	24069.0	15558.0	27525.0	56394.0	49955.0	60056.0
MXD1:74bb9bb1	19228	18487.0	11974.0	21257.0	43367.0	38643.0	46648.0
MXD1:74bb9bb1	19229	18776.0	12047.0	21408.0	44371.0	39513.0	47381.0
MXD1:74bb9bb1	69426	21666.0	13809.0	24523.0	50159.0	44403.0	53524.0
MXD1:74bb9bb1	a	21666.0	13809.0	24523.0	50159.0	44403.0	53524.0
MXD1:74bb9bb1	m	18487.0	11974.0	21257.0	43367.0	38643.0	46648.0
MXD1:976f6e6d	17596	0.0	603.0	0.0	1197.0	2194.0	1181.0
MXD1:976f6e6d	17802	0.0	422.0	0.0	799.0	1501.0	828.0
MXD1:976f6e6d	19227	0.0	422.0	0.0	799.0	1501.0	828.0
MXD1:976f6e6d	19228	0.0	628.0	0.0	1210.0	2198.0	1217.0
MXD1:976f6e6d	19229	0.0	772.0	0.0	1498.0	2826.0	1522.0
MXD1:976f6e6d	69426	0.0	603.0	0.0	1197.0	2194.0	1181.0
MXD1:976f6e6d	a	0.0	603.0	0.0	1197.0	2194.0	1181.0
MXD1:976f6e6d	m	0.0	628.0	0.0	1210.0	2198.0	1217.0
MXD1:b85f8815	17596	24912.0	27079.0	32113.0	9529.0	17584.0	24346.0
MXD1:b85f8815	17802	29947.0	32338.0	38284.0	11356.0	20991.0	28875.0
MXD1:b85f8815	19227	29947.0	32338.0	38284.0	11356.0	20991.0	28875.0
MXD1:b85f8815	19228	20199.0	22248.0	26174.0	7780.0	14294.0	19755.0
MXD1:b85f8815	19229	20210.0	21915.0	26082.0	7661.0	14184.0	19489.0
MXD1:b85f8815	69426	24912.0	27079.0	32113.0	9529.0	17584.0	24346.0
MXD1:b85f8815	a	24912.0	27079.0	32113.0	9529.0	17584.0	24346.0
MXD1:b85f8815	m	20199.0	22248.0	26174.0	7780.0	14294.0	19755.0
MXD1:b9ad5fa5	17596	0.0	0.0	479.0	4573.0	8422.0	5523.0
MXD1:b9ad5fa5	17802	0.0	0.0	486.0	4755.0	8776.0	5699.0
MXD1:b9ad5fa5	19227	0.0	0.0	486.0	4755.0	8776.0	5699.0
MXD1:b9ad5fa5	19228	0.0	0.0	380.0	4239.0	7793.0	5046.0
MXD1:b9ad5fa5	19229	0.0	0.0	367.0	4329.0	7781.0	5057.0
MXD1:b9ad5fa5	69426	0.0	0.0	479.0	4573.0	8422.0	5523.0
MXD1:b9ad5fa5	a	0.0	0.0	479.0	4573.0	8422.0	5523.0
MXD1:b9ad5fa5	m	0.0	0.0	380.0	4239.0	7793.0	5046.0
MXD1:e0cfdabf	17596	0.0	0.0	0.0	13092.0	21957.0	12098.0
MXD1:e0cfdabf	17802	0.0	0.0	0.0	14946.0	25164.0	13844.0
MXD1:e0cfdabf	19227	0.0	0.0	0.0	14946.0	25164.0	13844.0
MXD1:e0cfdabf	19228	0.0	0.0	0.0	11688.0	19421.0	10766.0
MXD1:e0cfdabf	19229	0.0	0.0	0.0	11861.0	19780.0	10840.0
MXD1:e0cfdabf	69426	0.0	0.0	0.0	13092.0	21957.0	12098.0
MXD1:e0cfdabf	a	0.0	0.0	0.0	13092.0	21957.0	12098.0
MXD1:e0cfdabf	m	0.0	0.0	0.0	11688.0	19421.0	10766.0
RIOK3:2e2c0ee8	17596	7302.0	6290.0	9773.0	38919.0	54525.0	28429.0
RIOK3:2e2c0ee8	17802	6531.0	5304.0	8331.0	32878.0	46166.0	24103.0
RIOK3:2e2c0ee8	19227	6531.0	5304.0	8331.0	32878.0	46166.0	24103.0
RIOK3:2e2c0ee8	19228	4942.0	4042.0	6361.0	25101.0	35116.0	18169.0
RIOK3:2e2c0ee8	19229	5899.0	4760.0	7430.0	29712.0	41222.0	21461.0
RIOK3:2e2c0ee8	69426	7302.0	6290.0	9773.0	38919.0	54525.0	28429.0
RIOK3:2e2c0ee8	a	7302.0	6290.0	9773.0	38919.0	54525.0	28429.0
RIOK3:2e2c0ee8	m	4942.0	4042.0	6361.0	25101.0	35116.0	18169.0
RIOK3:302fbde1	17596	2017.0	0.0	0.0	9954.0	20041.0	8062.0
RIOK3:302fbde1	17802	1862.0	0.0	0.0	9359.0	18725.0	7498.0
RIOK3:302fbde1	19227	1862.0	0.0	0.0	9359.0	18725.0	7498.0
RIOK3:302fbde1	19228	1098.0	0.0	0.0	5612.0	11289.0	4579.0
RIOK3:302fbde1	19229	1377.0	0.0	0.0	6832.0	13631.0	5503.0
RIOK3:302fbde1	69426	2017.0	0.0	0.0	9954.0	20041.0	8062.0
RIOK3:302fbde1	a	2017.0	0.0	0.0	9954.0	20041.0	8062.0
RIOK3:302fbde1	m	1098.0	0.0	0.0	5612.0	11289.0	4579.0
RIOK3:3651dc4f	17596	0.0	0.0	0.0	3071.0	5159.0	2040.0
RIOK3:3651dc4f	17802	0.0	0.0	0.0	2912.0	4912.0	1970.0
RIOK3:3651dc4f	19227	0.0	0.0	0.0	2912.0	4912.0	1970.0
RIOK3:3651dc4f	19228	0.0	0.0	0.0	1732.0	2912.0	1175.0
RIOK3:3651dc4f	19229	0.0	0.0	0.0	2122.0	3573.0	1434.0
RIOK3:3651dc4f	69426	0.0	0.0	0.0	3071.0	5159.0	2040.0
RIOK3:3651dc4f	a	0.0	0.0	0.0	3071.0	5159.0	2040.0
RIOK3:3651dc4f	m	0.0	0.0	0.0	1732.0	2912.0	1175.0
RIOK3:36912106	17596	0.0	0.0	0.0	8565.0	18179.0	8049.0
RIOK3:36912106	17802	0.0	0.0	0.0	8154.0	17294.0	7610.0
RIOK3:36912106	19227	0.0	0.0	0.0	8154.0	17294.0	7610.0
RIOK3:36912106	19228	0.0	0.0	0.0	4442.0	9486.0	4159.0
RIOK3:36912106	19229	0.0	0.0	0.0	5710.0	12244.0	5374.0
RIOK3:36912106	69426	0.0	0.0	0.0	8565.0	18179.0	8049.0
RIOK3:36912106	a	0.0	0.0	0.0	8565.0	18179.0	8049.0
RIOK3:36912106	m	0.0	0.0	0.0	4442.0	9486.0	4159.0
RIOK3:5755a979	17596	0.0	0.0	0.0	5659.0	9946.0	2767.0
RIOK3:5755a979	17802	0.0	0.0	0.0	5355.0	9302.0	2606.0
RIOK3:5755a979	19227	0.0	0.0	0.0	5355.0	9302.0	2606.0
RIOK3:5755a979	19228	0.0	0.0	0.0	3360.0	5656.0	1634.0
RIOK3:5755a979	19229	0.0	0.0	0.0	4081.0	7005.0	2002.0
RIOK3:5755a979	69426	0.0	0.0	0.0	5659.0	9946.0	2767.0
RIOK3:5755a979	a	0.0	0.0	0.0	5659.0	9946.0	2767.0
RIOK3:5755a979	m	0.0	0.0	0.0	3360.0	5656.0	1634.0
RIOK3:66323eaa	17596	465.0	251.0	376.0	8404.0	8336.0	5655.0
RIOK3:66323eaa	17802	439.0	239.0	361.0	7507.0	7703.0	5048.0
RIOK3:66323eaa	19227	439.0	239.0	361.0	7507.0	7703.0	5048.0
RIOK3:66323eaa	19228	321.0	168.0	249.0	5381.0	5547.0	3613.0
RIOK3:66323eaa	19229	385.0	210.0	299.0	6552.0	6901.0	4466.0
RIOK3:66323eaa	69426	465.0	251.0	376.0	8404.0	8336.0	5655.0
RIOK3:66323eaa	a	465.0	251.0	376.0	8404.0	8336.0	5655.0
RIOK3:66323eaa	m	321.0	168.0	249.0	5381.0	5547.0	3613.0
RIOK3:7ae8d52d	17596	1009.0	996.0	3956.0	48303.0	87490.0	41823.0
RIOK3:7ae8d52d	17802	947.0	957.0	3794.0	46268.0	83661.0	39905.0
RIOK3:7ae8d52d	19227	947.0	957.0	3794.0	46268.0	83661.0	39905.0
RIOK3:7ae8d52d	19228	568.0	578.0	2304.0	27950.0	50559.0	24063.0
RIOK3:7ae8d52d	19229	720.0	711.0	2841.0	34512.0	62046.0	29594.0
RIOK3:7ae8d52d	69426	1009.0	996.0	3956.0	48303.0	87490.0	41823.0
RIOK3:7ae8d52d	a	1009.0	996.0	3956.0	48303.0	87490.0	41823.0
RIOK3:7ae8d52d	m	568.0	578.0	2304.0	27950.0	50559.0	24063.0
RIOK3:80712835	17596	0.0	1908.0	0.0	17531.0	28257.0	16046.0
RIOK3:80712835	17802	0.0	1805.0	0.0	16795.0	27035.0	15359.0
RIOK3:80712835	19227	0.0	1805.0	0.0	16795.0	27035.0	15359.0
RIOK3:80712835	19228	0.0	1040.0	0.0	9970.0	16366.0	9207.0
RIOK3:80712835	19229	0.0	1288.0	0.0	12325.0	19980.0	11134.0
RIOK3:80712835	69426	0.0	1908.0	0.0	17531.0	28257.0	16046.0
RIOK3:80712835	a	0.0	1908.0	0.0	17531.0	28257.0	16046.0
RIOK3:80712835	m	0.0	1040.0	0.0	9970.0	16366.0	9207.0
RIOK3:9baa49dd	17596	1998.0	2031.0	1467.0	5549.0	15600.0	8692.0
RIOK3:9baa49dd	17802	1846.0	1880.0	1365.0	5274.0	14347.0	8020.0
RIOK3:9baa49dd	19227	1846.0	1880.0	1365.0	5274.0	14347.0	8020.0
RIOK3:9baa49dd	19228	1158.0	1170.0	759.0	3281.0	8847.0	5003.0
RIOK3:9baa49dd	19229	1396.0	1405.0	952.0	4029.0	10859.0	6119.0
RIOK3:9baa49dd	69426	1998.0	2031.0	1467.0	5549.0	15600.0	8692.0
RIOK3:9baa49dd	a	1998.0	2031.0	1467.0	5549.0	15600.0	8692.0
RIOK3:9baa49dd	m	1158.0	1170.0	759.0	3281.0	8847.0	5003.0
RIOK3:b267cda6	17596	0.0	0.0	0.0	3795.0	6358.0	2645.0
RIOK3:b267cda6	17802	0.0	0.0	0.0	3587.0	5976.0	2479.0
RIOK3:b267cda6	19227	0.0	0.0	0.0	3587.0	5976.0	2479.0
RIOK3:b267cda6	19228	0.0	0.0	0.0	2380.0	3843.0	1654.0
RIOK3:b267cda6	19229	0.0	0.0	0.0	2828.0	4706.0	2003.0
RIOK3:b267cda6	69426	0.0	0.0	0.0	3795.0	6358.0	2645.0
RIOK3:b267cda6	a	0.0	0.0	0.0	3795.0	6358.0	2645.0
RIOK3:b267cda6	m	0.0	0.0	0.0	2380.0	3843.0	1654.0
RIOK3:b7006761	17596	0.0	0.0	2097.0	2687.0	9051.0	4795.0
RIOK3:b7006761	17802	0.0	0.0	1913.0	2503.0	8455.0	4856.0
RIOK3:b7006761	19227	0.0	0.0	1913.0	2503.0	8455.0	4856.0
RIOK3:b7006761	19228	0.0	0.0	1239.0	1605.0	5467.0	3052.0
RIOK3:b7006761	19229	0.0	0.0	1499.0	1920.0	6609.0	3802.0
RIOK3:b7006761	69426	0.0	0.0	2097.0	2687.0	9051.0	4795.0
RIOK3:b7006761	a	0.0	0.0	2097.0	2687.0	9051.0	4795.0
RIOK3:b7006761	m	0.0	0.0	1239.0	1605.0	5467.0	3052.0
RIOK3:bf78ba7e	17596	0.0	0.0	0.0	3924.0	7679.0	3573.0
RIOK3:bf78ba7e	17802	0.0	0.0	0.0	3372.0	6557.0	3009.0
RIOK3:bf78ba7e	19227	0.0	0.0	0.0	3372.0	6557.0	3009.0
RIOK3:bf78ba7e	19228	0.0	0.0	0.0	2705.0	5174.0	2325.0
RIOK3:bf78ba7e	19229	0.0	0.0	0.0	3124.0	6064.0	2738.0
RIOK3:bf78ba7e	69426	0.0	0.0	0.0	3924.0	7679.0	3573.0
RIOK3:bf78ba7e	a	0.0	0.0	0.0	3924.0	7679.0	3573.0
RIOK3:bf78ba7e	m	0.0	0.0	0.0	2705.0	5174.0	2325.0
RIOK3:ce771cda	17596	0.0	0.0	489.0	18467.0	20210.0	14265.0
RIOK3:ce771cda	17802	0.0	0.0	431.0	16152.0	17654.0	12486.0
RIOK3:ce771cda	19227	0.0	0.0	431.0	16152.0	17654.0	12486.0
RIOK3:ce771cda	19228	0.0	0.0	337.0	12644.0	13726.0	9813.0
RIOK3:ce771cda	19229	0.0	0.0	390.0	14937.0	16194.0	11509.0
RIOK3:ce771cda	69426	0.0	0.0	489.0	18467.0	20210.0	14265.0
RIOK3:ce771cda	a	0.0	0.0	489.0	18467.0	20210.0	14265.0
RIOK3:ce771cda	m	0.0	0.0	337.0	12644.0	13726.0	9813.0
RIOK3:df5e74d9	17596	508.0	521.0	0.0	5986.0	7349.0	3071.0
RIOK3:df5e74d9	17802	425.0	435.0	0.0	5002.0	6139.0	2541.0
RIOK3:df5e74d9	19227	425.0	435.0	0.0	5002.0	6139.0	2541.0
RIOK3:df5e74d9	19228	347.0	359.0	0.0	3953.0	4806.0	1986.0
RIOK3:df5e74d9	19229	382.0	386.0	0.0	4496.0	5504.0	2300.0
RIOK3:df5e74d9	69426	508.0	521.0	0.0	5986.0	7349.0	3071.0
RIOK3:df5e74d9	a	508.0	521.0	0.0	5986.0	7349.0	3071.0
RIOK3:df5e74d9	m	347.0	359.0	0.0	3953.0	4806.0	1986.0
RIOK3:e56bb27e	17596	0.0	1029.0	1058.0	1913.0	3205.0	6705.0
RIOK3:e56bb27e	17802	0.0	971.0	986.0	1807.0	2951.0	6411.0
RIOK3:e56bb27e	19227	0.0	971.0	986.0	1807.0	2951.0	6411.0
RIOK3:e56bb27e	19228	0.0	588.0	603.0	1054.0	1802.0	3826.0
RIOK3:e56bb27e	19229	0.0	729.0	731.0	1303.0	2207.0	4669.0
RIOK3:e56bb27e	69426	0.0	1029.0	1058.0	1913.0	3205.0	6705.0
RIOK3:e56bb27e	a	0.0	1029.0	1058.0	1913.0	3205.0	6705.0
